MUKEY,musym,muname,areasymbol,areaname,Corn Yield(bu/Ha),Soybean Yield(bu/Ha),Wheat Yield(bu/Ha),Crop Rotations,Removal Rate,Code,Slope(%),SlopeLength(m),T_factor,K_factor,Sand(%),Silt(%),Clay(%),Organic matter(%),Rainfall_Erosivity,Soil erosion,SCI,Organic Matter factor,Field Operation factor,Soil erosion factor,,,,,,,
168538,BgA,"Bennington silt loam, 0 to 2 percent slopes",OH033,"Crawford County, Ohio",420,130,170,CSW,0.00,BgA,1,53,5,0.37,26.5,53.5,20,3,110,0.297,0.795,0.555,0.959,0.947,0,,,,,,
168538,BgA,"Bennington silt loam, 0 to 2 percent slopes",OH033,"Crawford County, Ohio",420,130,170,CSW,0.20,BgA,1,53,5,0.37,26.5,53.5,20,3,110,1.09,0.583,0.118,0.934,0.811,0,,,,,,
168538,BgA,"Bennington silt loam, 0 to 2 percent slopes",OH033,"Crawford County, Ohio",420,130,170,CSW,0.35,BgA,1,53,5,0.37,26.5,53.5,20,3,110,1.26,0.53,0.00439,0.93,0.78122,0,,,,,,
168538,BgA,"Bennington silt loam, 0 to 2 percent slopes",OH033,"Crawford County, Ohio",420,130,170,CSW,0.52,BgA,1,53,5,0.37,26.5,53.5,20,3,110,1.45,0.486,-0.0833,0.927,0.7426,0,,,,,,
168538,BgA,"Bennington silt loam, 0 to 2 percent slopes",OH033,"Crawford County, Ohio",420,130,170,CSW,0.83,BgA,1,53,5,0.37,26.5,53.5,20,3,110,2.15,0.345,-0.375,0.926,0.623,0,,,,,,
168538,BgA,"Bennington silt loam, 0 to 2 percent slopes",OH033,"Crawford County, Ohio",450,140,,CS,0.00,BgA,1,53,5,0.37,26.5,53.5,20,3,110,0.481,0.716,0.371,0.962,0.914,0,,,,,,
168538,BgA,"Bennington silt loam, 0 to 2 percent slopes",OH033,"Crawford County, Ohio",450,140,,CS,0.20,BgA,1,53,5,0.37,26.5,53.5,20,3,110,0.617,0.633,0.175,0.962,0.891,0,,,,,,
168538,BgA,"Bennington silt loam, 0 to 2 percent slopes",OH033,"Crawford County, Ohio",450,140,,CS,0.35,BgA,1,53,5,0.37,26.5,53.5,20,3,110,0.704,0.58,0.0506,0.961,0.8768,0,,,,,,
168538,BgA,"Bennington silt loam, 0 to 2 percent slopes",OH033,"Crawford County, Ohio",450,140,,CS,0.52,BgA,1,53,5,0.37,26.5,53.5,20,3,110,1.03,0.514,-0.0803,0.956,0.8186,0,,,,,,
168538,BgA,"Bennington silt loam, 0 to 2 percent slopes",OH033,"Crawford County, Ohio",450,140,,CS,0.83,BgA,1,53,5,0.37,26.5,53.5,20,3,110,1.36,0.396,-0.346,0.955,0.762,0,,,,,,
168538,BgA,"Bennington silt loam, 0 to 2 percent slopes",OH033,"Crawford County, Ohio",450,140,180,CSW,0.00,BgA,1,53,5,0.37,26.5,53.5,20,3,110,0.267,0.83,0.64,0.959,0.952,0,,,,,,
168538,BgA,"Bennington silt loam, 0 to 2 percent slopes",OH033,"Crawford County, Ohio",450,140,180,CSW,0.20,BgA,1,53,5,0.37,26.5,53.5,20,3,110,1.02,0.609,0.179,0.934,0.819,0,,,,,,
168538,BgA,"Bennington silt loam, 0 to 2 percent slopes",OH033,"Crawford County, Ohio",450,140,180,CSW,0.35,BgA,1,53,5,0.37,26.5,53.5,20,3,110,1.18,0.554,0.0576,0.93,0.7948,0,,,,,,
168538,BgA,"Bennington silt loam, 0 to 2 percent slopes",OH033,"Crawford County, Ohio",450,140,180,CSW,0.52,BgA,1,53,5,0.37,26.5,53.5,20,3,110,1.37,0.508,-0.0357,0.927,0.7574,0,,,,,,
168538,BgA,"Bennington silt loam, 0 to 2 percent slopes",OH033,"Crawford County, Ohio",450,140,180,CSW,0.83,BgA,1,53,5,0.37,26.5,53.5,20,3,110,2.05,0.36,-0.346,0.926,0.64,0,,,,,,
168538,BgA,"Bennington silt loam, 0 to 2 percent slopes",OH033,"Crawford County, Ohio",330,110,,CS,0.00,BgA,1,53,5,0.37,26.5,53.5,20,3,110,0.732,0.585,0.0657,0.962,0.8696,0,,,,,,
168538,BgA,"Bennington silt loam, 0 to 2 percent slopes",OH033,"Crawford County, Ohio",330,110,,CS,0.20,BgA,1,53,5,0.37,26.5,53.5,20,3,110,0.904,0.52,-0.0809,0.962,0.8378,0,,,,,,
168538,BgA,"Bennington silt loam, 0 to 2 percent slopes",OH033,"Crawford County, Ohio",330,110,,CS,0.35,BgA,1,53,5,0.37,26.5,53.5,20,3,110,1.01,0.48,-0.174,0.961,0.826,0,,,,,,
